id,chapter,title,start_at(JST),end_at(JST),event_type,main_chara,chara_type,ban,attr,pt_top10,pt_lines_1,pt_lines_10,pt_lines_20,pt_lines_50,pt_lines_100,pt_lines_200,pt_lines_300,pt_lines_400,pt_lines_500,pt_lines_1000,pt_lines_2000,pt_lines_3000,pt_lines_5000,pt_lines_10000,pt_lines_30000,pt_lines_50000,pt_lines_100000,pt_lines_300000
120,-,Take the Best Shot！,2024/01/31 20:00,2024/02/08 21:00,チアフルカーニバル,"hrk, khn, toya, ena, luka(VBS)",mix,khn,mysterious,254301206 2430210005 214000000 187043025 180302525 180000430 172600302 170214302 164545072 161054302,254301206,161054302,120000302,79700043,62525302,25946605,20520120,16962422,16289752,11293702,5393065,4485425,4100801,3292998,2037493,1607836,997772,355177
121,-,導く勇気、優しさを胸に,2024/02/10 15:00,2024/02/18 21:00,マラソン,"ick, saki, hnm, shiho, miku(Ln), rin(Ln), len(Ln), luka(Ln), meiko(Ln), kaito(Ln)",unit,hnm,cool,319001027 310270811 303400882 300000000 261391027 255441027 255091027 251101027 245393939 233102726,319001027,233102726,134001027,79945764,51001027,24801059,18645402,15783419,14281368,9559965,4470248,3614229,3146219,2348866,1539880,1271724,829955,325174
122,-,刻まれた傷は、やがて,2024/02/20 15:00,2024/02/27 21:00,マラソン,"mnr, hrk, airi, szk, miku(MMJ), rin(MMJ), len(MMJ), luka(MMJ), meiko(MMJ), kaito(MMJ)",unit,mnr,pure,315000414 301005414 261005414 236040104 224141005 210050414 200001005 186738249 160000414 159105414,315000414,159105414,105105414,65319385,43045147,21745446,16012958,13368203,12539010,8175808,3962910,3244050,2827460,2104690,1360330,1122854,724826,272700
123,-,リラックスティータイム,2024/02/29 15:00,2024/03/06 21:00,チアフルカーニバル,"ick, mnr, airi, knd, mfy",mix,knd,happy,214000314 210127811 205000000 200000210 180560831 170000210 163000210 159713458 155500000 147154210,214000314,147154210,98765432,74377828,50513007,26873997,21778520,18440351,17546313,12224451,5932641,4672058,3963189,2952156,1777771,1411540,874362,308215
124,-,星を目指して、ヨーソロー！,2024/03/08 20:00,2024/03/20 20:00,ワールドリンク,"tks, emu, nene, rui, miku(WS), rin(WS), len(WS), luka(WS), meiko(WS), kaito(WS)",unit,-,-,642000000 562451782 559624517 535526792 527209624 515782526 515674770 513393894 494624517 476624720,642000000,476624720,374519115,310608918,261704387,180002770,158517053,138501933,131759207,88802770,56726885,41539297,25664607,14087687,5667830,4093467,2378841,678172
124,1,星を目指して、ヨーソロー！,2024/03/08 20:00,2024/03/11 20:00,ワールドリンク,"tks, emu, nene, rui, miku(WS), rin(WS), len(WS), luka(WS), meiko(WS), kaito(WS)",unit,rui,-,180000624 176320355 165000624 160517624 159627636 159534451 156241000 154620756 152626624 152517624,180000624,152517624,150517624,147009624,143660290,102173394,,,54257492,42851182,,10212605,6650562,3863456,,1037615,651360,
124,2,星を目指して、ヨーソロー！,2024/03/11 20:00,2024/03/14 20:00,ワールドリンク,"tks, emu, nene, rui, miku(WS), rin(WS), len(WS), luka(WS), meiko(WS), kaito(WS)",unit,nene,-,172000000 162000720 161681240 154000720 154000720 152500720 150000720 147882110 145565720 145510303,172000000,145510303,131530720,123909720,121471555,63326290,,,39453474,29700222,,7663316,4768135,2604798,,851330,524618,
124,3,星を目指して、ヨーソロー！,2024/03/14 20:00,2024/03/17 20:00,ワールドリンク,"tks, emu, nene, rui, miku(WS), rin(WS), len(WS), luka(WS), meiko(WS), kaito(WS)",unit,emu,-,172525909 165509909 158517909 155555909 153720909 145200909 145166965 143660290 143170909 140000909,172525909,140000909,132263295,128000909,124017297,63139104,,,40752404,29484689,,7839775,4933008,2677058,,946301,508115,
124,4,星を目指して、ヨーソロー！,2024/03/17 20:00,2024/03/20 20:00,ワールドリンク,"tks, emu, nene, rui, miku(WS), rin(WS), len(WS), luka(WS), meiko(WS), kaito(WS)",unit,tks,-,180000517 174517624 172624517 170000517 170000000 166688517 165250517 164000517 162500517 162472099,180000517,162472099,159999917,156001288,151040622,107971161,,,65150336,54169865,,12279242,7977873,4166664,,918452,527828,
125,-,The first concerto,2024/03/22 15:00,2024/03/28 21:00,マラソン,"khn, an, akt, toya, miku(VBS), rin(VBS), len(VBS), luka(VBS), meiko(VBS), kaito(VBS)",unit,toya,happy,261112525 256108525 252811525 230000525 220525726 220108022 217001112 217000525 212100523 211999490,261111525,211999490,142525108,95252525,79938973,39670172,31112525,25280310,23763731,17706238,6420367,4626571,3629200,2369659,1343473,1091140,704173,273246
126,-,Rise as ONE!,2024/03/30 15:00,2024/04/08 21:00,チアフルカーニバル,"hnm, mnr, akt, rui, kaito(Ln)",mix,akt,cool,217217217 205251112 200001112 191111112 190001112 189021112 186391112 181112624 180271112 178601112,217217217,178601112,139002521,104301112,77777777,37885525,31766959,26443203,25251112,17247583,8100005,6627431,5806089,4501818,2884564,2293145,1486303,577384
127,-,Knowing the Unseen,2024/04/10 15:00,2024/04/18 21:00,マラソン,"knd, mfy, ena, mzk, miku(25ji), rin(25ji), len(25ji), luka(25ji), meiko(25ji), kaito(25ji)",unit,ena,pure,350000430 339000430 335615954 335615086 335487835 315000000 300000430 296000430 293542694 292127430,350000430,292127430,177777430,101025430,80010430,39266498,32471763,27936724,26610925,20083764,8563700,6448141,5136471,3605829,2094321,1724479,1136732,404966
128,-,Parallel Harmonies,2024/04/20 15:00,2024/04/28 21:00,マラソン,"ick, saki, hnm, shiho, miku(Ln), rin(Ln), len(Ln), luka(Ln), meiko(Ln), kaito(Ln)",unit,saki,happy,300000509 281159105 270000509 220509509 220081159 211111509 200811509 200000509 182138301 161780493,300000509,161780493,121000509,80027332,52783336,27364571,22113289,18678858,17655223,12305169,6074779,4994629,4366965,3391809,2174156,1791505,1135360,370386
129,-,Whip the wimp girl!!,2024/04/30 15:00,2024/05/07 21:00,マラソン,"khn, an, akt, toya, miku(VBS), rin(VBS), len(VBS), luka(VBS), meiko(VBS), kaito(VBS)",unit,an,cool,303020726 272600000 253726130 230525726 222222222 207260302 203939726 200000000 190726302 181700726,303020726,181700726,143261726,97260000,67417477,29441461,23286494,20066680,18888888,13384154,6423052,5001035,4182273,3000840,1788212,1469976,950496,340770
130,-,いつか花咲くステージへ,2024/05/09 20:00,2024/05/21 20:00,ワールドリンク,"mnr, hrk, airi, szk, miku(MMJ), rin(MMJ), len(MMJ), luka(MMJ), meiko(MMJ), kaito(MMJ)",unit,-,-,585414000 568210414 560000001 440000000 400208343 373001206 359319319 355100000 346752944 345105126,585414000,345105126,290414319,235052088,193081181,139143473,125407166,111126105,96256258,58916095,35184967,27860966,16841608,8750719,4273636,3205949,1873577,528505
130,1,いつか花咲くステージへ,2024/05/09 20:00,2024/05/12 20:00,ワールドリンク,"mnr, hrk, airi, szk, miku(MMJ), rin(MMJ), len(MMJ), luka(MMJ), meiko(MMJ), kaito(MMJ)",unit,airi,-,170000319 163190000 162338244 158270319 156853549 154300319 151319319 150000319 147333319 141400319,170000319,141400319,124340319,111333319,110372266,53872816,,,31290313,23864125,,5312121,3442876,2133744,,840749,524870,
130,2,いつか花咲くステージへ,2024/05/12 20:00,2024/05/15 20:00,ワールドリンク,"mnr, hrk, airi, szk, miku(MMJ), rin(MMJ), len(MMJ), luka(MMJ), meiko(MMJ), kaito(MMJ)",unit,hrk,-,163001005 156122117 155673595 155225686 150000000 148779578 147261005 145633116 141401005 141401005,163001005,141401005,131005202,122521005,117769200,61500944,,,38392898,27893974,,6152082,3617436,1985540,,749185,446772,
130,3,いつか花咲くステージへ,2024/05/15 20:00,2024/05/18 20:00,ワールドリンク,"mnr, hrk, airi, szk, miku(MMJ), rin(MMJ), len(MMJ), luka(MMJ), meiko(MMJ), kaito(MMJ)",unit,szk,-,168001206 158271206 152501206 152501206 151701206 151271206 151206429 150126126 150001206 143024742,168001206,143024742,130001206,106639636,96372856,48211445,,,26107914,18047091,,4027401,2521267,1621106,,711088,429670,
130,4,いつか花咲くステージへ,2024/05/18 20:00,2024/05/21 20:00,ワールドリンク,"mnr, hrk, airi, szk, miku(MMJ), rin(MMJ), len(MMJ), luka(MMJ), meiko(MMJ), kaito(MMJ)",unit,mnr,-,180000414 170011233 169882074 164206668 164155261 163739414 160000414 157141414 153000414 151704145,180000414,151704145,141487310,134140414,130195237,71058196,,,36983365,23783207,,5237898,3222260,1932941,,751741,433269,
131,-,perspective for smile,2024/05/23 15:00,2024/05/29 21:00,マラソン,"tks, emu, nene, rui, miku(WS), rin(WS), len(WS), luka(WS), meiko(WS), kaito(WS)",unit,emu,cute,252556799 225250909 190900517 185170909 170020909 165010599 152525909 131227909 131227517 122700517,252556799,122700517,97102030,60309174,44275768,21877089,16771897,14304547,13427628,9510720,4493110,3600607,3054375,2150802,1316088,1062139,665850,224711
132,-,みんなで配信♡WEDDING LIVE！,2024/05/31 15:00,2024/06/08 21:00,チアフルカーニバル,"shiho, mnr, nene, ena, luka(WS)",mix,mnr,mysterious,238414108 233982688 213000430 170059414 153720414 151005414 141100720 130414720 120720000 120087310,238414108,120087310,88430811,66226324,47041418,22548184,17204140,14266729,13514131,9881584,5042568,4415024,4076645,3221096,1870239,1433410,852433,267902
133,-,Lead to shine more,2024/06/10 15:00,2024/06/18 21:00,マラソン,"mnr, hrk, airi, szk, miku(MMJ), rin(MMJ), len(MMJ), luka(MMJ), meiko(MMJ), kaito(MMJ)",unit,hrk,cool,315001005 280001005 252501005 200001005 183023588 175001005 170001005 162271005 152191005 147671005,315001005,147671005,110001005,67357616,43301005,19683420,14733795,12100217,11212724,7476285,4031020,3497123,3216390,2547187,1617300,1279331,775496,242137
134,-,灯を手繰りよせて,2024/06/20 15:00,2024/06/28 21:00,マラソン,"knd, mfy, ena, mzk, miku(25ji), rin(25ji), len(25ji), luka(25ji), meiko(25ji), kaito(25ji)",unit,mfy,pure,333000127 315000127 301270430 300000127 280430127 270000000 240827127 240127523 215003911 201270831,333000127,201270831,152525127,96907302,65401671,32171461,25648411,21773969,20683954,15295433,6761826,5090384,4165410,3059340,1867840,1497384,926629,285949
135,-,OVER RAD SQUAD!!,2024/06/30 15:00,2024/07/07 21:00,マラソン,"khn, an, akt, toya, miku(VBS), rin(VBS), len(VBS), luka(VBS), meiko(VBS), kaito(VBS)",unit,khn,mysterious,331136043 267777777 244444444 240000000 224000302 211573239 211532777 210000302 167260302 150000000,331136043,150000000,132827907,103200000,80707302,35069865,27646485,24344892,23497249,16600100,6834906,5181082,4361614,3149902,1839785,1459532,886669,266011
136,-,お縄を頂戴！？天馬捕物帳,2024/07/09 15:00,2024/07/15 21:00,マラソン,"tks, emu, nene, rui, miku(WS), rin(WS), len(WS), luka(WS), meiko(WS), kaito(WS)",unit,tks,pure,270001029 248951788 246152355 244909517 240920517 222000517 212121212 200088517 182281803 182270517,270001029,182270517,146624517,92624517,56937500,30000517,23986538,20250517,19086448,14386258,5843081,4334952,3588332,2492369,1457950,1159715,713552,230792
137,-,あの日見た夜空は、いつかの未来へ ,2024/07/17 20:00,2024/07/29 20:00,ワールドリンク,"ick, saki, hnm, shiho, miku(Ln), rin(Ln), len(Ln), luka(Ln), meiko(Ln), kaito(Ln)",unit,-,-,645981130 620108811 603900000 591027811 546376621 543693939 527001220 523017256 520811509 517188127,645981130,517188127,334720726,251236162,215509509,147289840,135091027,123000509,104415794,62434272,39414465,28858786,17902305,9120912,4437186,3289415,1821073,428271
137,1,あの日見た夜空は、いつかの未来へ ,2024/07/17 20:00,2024/07/20 20:00,ワールドリンク,"ick, saki, hnm, shiho, miku(Ln), rin(Ln), len(Ln), luka(Ln), meiko(Ln), kaito(Ln)",unit,saki,-,181100130 175000509 173000509 170011234 163000509 161111494 161080509 160000509 160000000 159595959,181100130,159595959,145509909,134416443,127312855,62060222,,,33534087,25097485,,5472281,3428365,2081388,,837346,486461,
137,2,あの日見た夜空は、いつかの未来へ ,2024/07/20 20:00,2024/07/23 20:00,ワールドリンク,"ick, saki, hnm, shiho, miku(Ln), rin(Ln), len(Ln), luka(Ln), meiko(Ln), kaito(Ln)",unit,hnm,-,177701206 174007692 173001027 170001027 164211027 157001027 155551027 153071625 153060815 153000000,177701206,153000000,140001027,123456789,119201027,47685522,,,26340984,16459780,,3571812,2377390,1633815,,731496,426634,
137,3,あの日見た夜空は、いつかの未来へ ,2024/07/23 20:00,2024/07/26 20:00,ワールドリンク,"ick, saki, hnm, shiho, miku(Ln), rin(Ln), len(Ln), luka(Ln), meiko(Ln), kaito(Ln)",unit,shiho,-,181818108 174300108 170742108 162108000 156311055 154617287 153340108 150159108 150130108 150000108,181818108,150000108,131027108,120600108,110000108,55963848,,,32625990,23268038,,5444066,3196426,1823210,,739641,422785,
137,4,あの日見た夜空は、いつかの未来へ ,2024/07/26 20:00,2024/07/29 20:00,ワールドリンク,"ick, saki, hnm, shiho, miku(Ln), rin(Ln), len(Ln), luka(Ln), meiko(Ln), kaito(Ln)",unit,ick,-,184000811 181208111 170000811 161225811 160081159 159102718 155509130 151510811 151424811 150981105,184000811,150981105,145100811,141004939,138395780,84237899,,,49010811,35886934,,7720271,4149762,2168287,,795017,433907,
138,-,Chase my IDEAL IDOL !,2024/07/31 15:00,2024/08/07 21:00,マラソン,"mnr, hrk, airi, szk, miku(MMJ), rin(MMJ), len(MMJ), luka(MMJ), meiko(MMJ), kaito(MMJ)",unit,airi,cute,280333319 230000319 208190319 190430319 183617372 181854091 177000319 175170319 173000319 171000319,280333319,171000319,111722319,74039319,55826739,25555555,20000210,15726319,14687986,9895061,4538018,3685032,3304409,2544833,1603351,1266400,757335,234455
139,-,鳴らせビューティフルサウンド！,2024/08/09 15:00,2024/08/15 21:00,マラソン,"saki, an, toya, knd, mfy",mix,toya,mysterious,260726525 250525726 245003939 242811525 225250108 221027509 181080525 175090525 160900720 145252100,260726525,145252100,108525210,85819525,57704525,20814697,17061730,14210525,13239370,9356498,4278318,3471229,3024279,2241081,1400320,1119267,695375,226317
140,-,キミと、セカイの始まりで,2024/08/17 20:00,2024/08/29 20:00,ワールドリンク,"miku, rin, len, luka, meiko, kaito",unit,-,-,646030130 554621227 512272007 487567628 450037870 403923217 350831227 346800693 345001227 339000130,646030130,339000130,278232323,226691892,188000000,125355615,1105333002,101966711,92913616,62841082,39578891,30909974,20836296,11329065,5383919,3919008,2139083,477589
140,1,キミと、セカイの始まりで,2024/08/17 20:00,2024/08/19 20:00,ワールドリンク,"miku, rin, len, luka, meiko, kaito",unit,luka,-,136570560 134000130 130130130 123780334 118310130 116666130 111333000 108310130 107869454 103130130,136570560,103130130,92930130,80000130,71939253,36140888,,,17441480,12286130,,3003647,2142505,1510010,,662913,385320,
140,2,キミと、セカイの始まりで,2024/08/19 20:00,2024/08/21 20:00,ワールドリンク,"miku, rin, len, luka, meiko, kaito",unit,rin,-,126901227 125001227 124594699 122700000 120071227 112500039 112272525 112271227 112270411 107371227,126901227,107371227,100201227,86861227,80305879,40631307,,,22830810,17014507,,3472405,2234850,1444614,,588867,338515,
140,3,キミと、セカイの始まりで,2024/08/21 20:00,2024/08/23 20:00,ワールドリンク,"miku, rin, len, luka, meiko, kaito",unit,meiko,-,123021105 115624517 115108115 110505050 110501105 110500000 107851070 102171105 100217115 100001105,123021105,100001105,73292696,50251105,41000000,21001556,,,10271926,6519999,,1909250,1505212,1195725,,531525,308888,
140,4,キミと、セカイの始まりで,2024/08/23 20:00,2024/08/25 20:00,ワールドリンク,"miku, rin, len, luka, meiko, kaito",unit,len,-,132648640 131977510 131919855 130217540 122702877 122700000 121227102 119148158 114469423 111481227,132648640,111481227,101227624,87701227,81819519,47626209,,,25702590,18349034,,3955566,2460906,1510388,,580628,329014,
140,5,キミと、セカイの始まりで,2024/08/25 20:00,2024/08/27 20:00,ワールドリンク,"miku, rin, len, luka, meiko, kaito",unit,kaito,-,135008257 133000088 132713625 128800217 125250217 125214217 123217831 121711532 121700917 121123217,135008257,121123217,108236607,100000000,91249217,53619328,,,32904176,24693227,,5811094,3393360,1793082,,592858,329086,
